target,model,n_features,fold,r2,mae,rmse,best_params
GPR3mm,Dummy,5,0,-0.04763224121914722,1.0275555555555553,1.492397193349026,{}
GPR3mm,Dummy,5,1,-0.8522779890803518,0.9426262626262849,0.9861492782225837,{}
GPR3mm,Dummy,5,2,-0.006737203098291511,1.1161212121212105,1.7464465241419747,{}
GPR3mm,Dummy,5,3,-0.3394414637872267,1.7870707070707055,2.791475355386212,{}
GPR3mm,Dummy,5,4,-0.03335322690779319,1.02950000000001,1.5798609643467596,{}
GPR3mm,Dummy,5,5,-1.3925275385732294,0.954181818181824,1.0015873535611366,{}
GPR3mm,Dummy,5,6,-0.1471896162659181,1.5760000000000058,2.650316542939298,{}
GPR3mm,Dummy,5,7,-0.006875035320298872,1.181818181818183,1.848276391624022,{}
GPR3mm,Dummy,5,8,-0.013613869013502589,1.2283636363636372,1.966298233220257,{}
GPR3mm,Dummy,5,9,-0.6140974354157309,0.8705833333333466,0.945991190938562,{}
GPR3mm,Dummy,5,10,-0.0004943933230106001,1.1578181818181787,1.9121042543016427,{}
GPR3mm,Dummy,5,11,-0.0443486897973735,1.3280808080808095,2.0783229251013764,{}
GPR3mm,Dummy,5,12,-0.002192892287872228,1.0021818181818207,1.554763408431761,{}
GPR3mm,Dummy,5,13,-0.005231271556933592,1.218909090909097,1.8415604035508981,{}
GPR3mm,Dummy,5,14,-0.041426150162971576,0.9939166666666696,1.3713057038214842,{}
GPR3mm,Dummy,5,15,-0.059434356133371447,1.4215757575757635,2.2947210549272694,{}
GPR3mm,Dummy,5,16,-0.0013726139918870395,1.1327676767676786,1.6937143137839588,{}
GPR3mm,Dummy,5,17,-0.005399387715634418,1.135272727272736,1.8106103404990046,{}
GPR3mm,Dummy,5,18,-0.026994682074800824,1.031111111111104,1.499262274799125,{}
GPR3mm,Dummy,5,19,-0.07476891545687625,0.9853333333333367,1.4483061370672548,{}
GPR3mm,Dummy,5,20,-0.000486979503527607,0.9644444444444411,1.479743826361142,{}
GPR3mm,Dummy,5,21,-0.0024630846072579704,1.3964444444444468,2.07039420154246,{}
GPR3mm,Dummy,5,22,-0.0007508652512144831,1.0974545454545461,1.734658954844874,{}
GPR3mm,Dummy,5,23,-0.03639385110532123,1.0075151515151486,1.511009854545164,{}
GPR3mm,Dummy,5,24,-0.007498338411029426,1.231250000000004,1.9802146348312852,{}
GPR3mm,Ridge,5,0,0.3698889177276268,0.8166579660202092,1.1574135298732908,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,1,-0.1835502955638213,0.6821507662654954,0.788284409574425,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,2,0.48928276659507774,0.7301196727132038,1.2439057907359752,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,3,0.050346675715771005,1.5309779589469656,2.350468714821777,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,4,0.43689444314166703,0.8269790717546606,1.166243872862829,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,5,-1.1620177116579948,0.7760895724373694,0.9521162630831127,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,6,0.11670247061444505,1.4000183536879944,2.32559267881676,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,7,0.4344884808142653,0.8665528822959129,1.3851597316892241,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,8,0.4723588607396082,0.883904594385296,1.4186734513604031,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,9,-0.9846877544552086,0.8998073286432279,1.0489826705098546,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,10,0.4340638420219999,0.8785347506924075,1.4380962679183529,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,11,0.42627750791183683,0.9582984845566522,1.5404272872409934,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,12,0.36559370361985966,0.9261218694028901,1.2370076745392076,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,13,0.08915228265159869,0.9712738280908565,1.7529755561979288,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,14,0.4106242193858638,0.8120251631034373,1.0316115259760525,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,15,0.5671886411015963,0.9572296659899763,1.466703064134543,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,16,0.40838150932873296,0.9514532079034944,1.301856669718923,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,17,0.45849277630689045,0.8349497544427231,1.3287944800927713,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,18,0.45156324971650896,0.6746314158748021,1.0956120248940677,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,19,-0.47390096553941174,1.0764820542771183,1.6960434500363162,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,20,0.2556858500383675,1.0584782563587363,1.2763181754822857,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,21,0.19758718901561267,1.0524844677772125,1.8523275033776407,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,5,22,0.4921177533402896,1.0666239354756077,1.235755725513935,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,5,23,0.45699677202286615,0.6905542510398527,1.0937198357697255,"{""model__alpha"": 100.0}"
