target,model,n_features,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,n_folds
GPR3mm,Dummy,5,-0.1505,0.3311,1.1527,0.2148,1.7316,0.4517,25
GPR3mm,Ridge,5,0.199,0.4508,0.9306,0.2001,1.3887,0.3797,25
GPR3mm,SVR,5,0.6139,0.2599,0.5823,0.1715,0.9578,0.3879,25
GPR3mm,RandomForest,5,0.6406,0.2827,0.5325,0.1618,0.9074,0.4512,25
GPR3mm,XGBoost,5,0.4505,0.7234,0.5221,0.1715,1.0132,0.4658,25
GPR3mm,MLP,5,0.5875,0.2676,0.6296,0.1587,0.9771,0.3728,25
GPR3mm,Dummy,10,-0.1505,0.3311,1.1527,0.2148,1.7316,0.4517,25
GPR3mm,Ridge,10,0.3458,0.4624,0.8846,0.2126,1.2226,0.4212,25
GPR3mm,SVR,10,0.5972,0.2754,0.6033,0.1808,0.9766,0.4178,25
GPR3mm,RandomForest,10,0.6689,0.2413,0.5287,0.156,0.8765,0.4232,25
GPR3mm,XGBoost,10,0.5781,0.3666,0.5293,0.1724,0.9571,0.4352,25
GPR3mm,MLP,10,0.4322,0.5458,0.6694,0.1861,1.0724,0.3922,25
GPR3mm,Dummy,15,-0.1505,0.3311,1.1527,0.2148,1.7316,0.4517,25
GPR3mm,Ridge,15,0.214,0.5424,0.9528,0.1923,1.3374,0.3919,25
GPR3mm,SVR,15,0.6191,0.262,0.604,0.1672,0.9556,0.4014,25
GPR3mm,RandomForest,15,0.6303,0.2682,0.5575,0.158,0.9215,0.4365,25
GPR3mm,XGBoost,15,0.5755,0.3577,0.5173,0.1528,0.9553,0.4334,25
GPR3mm,MLP,15,0.4662,0.5245,0.6928,0.1563,1.0731,0.3559,25
GPR3mm,Dummy,31,-0.1505,0.3311,1.1527,0.2148,1.7316,0.4517,25
GPR3mm,Ridge,31,0.3443,0.4723,0.8812,0.177,1.21,0.3417,25
GPR3mm,SVR,31,0.5975,0.2663,0.6058,0.1546,0.9715,0.3981,25
GPR3mm,RandomForest,31,0.616,0.2639,0.5876,0.1544,0.9455,0.4231,25
GPR3mm,XGBoost,31,0.4626,0.5517,0.567,0.1473,1.0169,0.3877,25
GPR3mm,MLP,31,0.39,0.4494,0.7763,0.1877,1.1645,0.3865,25
GPR2mm,Dummy,5,-0.0665,0.1076,4.1716,0.4282,5.3504,0.9227,25
GPR2mm,Ridge,5,0.4208,0.1721,2.6041,0.4528,3.8908,0.7997,25
GPR2mm,SVR,5,0.5078,0.1885,2.3159,0.4843,3.5457,0.7882,25
