rank,model_3mm,n_features_3mm,model_2mm,n_features_2mm,cv_mae_3mm,cv_mae_2mm,feasible,q2,q0,margin2_GPR3mm,margin2_GPR2mm,margin0_GPR3mm,margin0_GPR2mm,score,f1_2,f1_0,recall_2,precision_2,recall_0,precision_0,overall_accuracy,autopass_rate,replan_rate,manual_rate
1,XGBoost,15,SVR,10,0.5173,2.3142,True,0.3,0.45,-0.2876,-1.178,0.0635,-0.2563,1.4371,0.7965,0.6406,0.8839,0.7249,0.5467,0.7736,0.7,0.6097,0.0855,0.3048
2,RandomForest,5,SVR,10,0.5325,2.3142,True,0.3,0.15,-0.3077,-1.178,-0.4771,-2.615,1.4269,0.7948,0.6321,0.8871,0.7199,0.8133,0.5169,0.6565,0.6161,0.1903,0.1935
3,XGBoost,5,SVR,10,0.5221,2.3142,True,0.3,0.2,-0.2333,-1.178,-0.3338,-2.1021,1.4158,0.7959,0.6199,0.8871,0.7218,0.7067,0.5521,0.6677,0.6145,0.1548,0.2306
4,RandomForest,10,SVR,10,0.5287,2.3142,True,0.3,0.25,-0.3483,-1.178,-0.1952,-1.6001,1.4145,0.7971,0.6174,0.8806,0.728,0.6133,0.6216,0.6839,0.6048,0.1194,0.2758
5,XGBoost,10,SVR,10,0.5293,2.3142,True,0.3,0.5,-0.2739,-1.178,0.0786,0.0143,1.4125,0.7959,0.6165,0.8806,0.7261,0.5467,0.7069,0.6919,0.6065,0.0935,0.3
6,MLP,15,SVR,10,0.6928,2.3142,True,0.3,0.4,-0.4262,-1.178,-0.0979,-0.5001,1.3868,0.7733,0.6135,0.8419,0.7151,0.6667,0.5682,0.6516,0.5887,0.1419,0.2694
7,RandomForest,15,SVR,10,0.5575,2.3142,True,0.3,0.3,-0.358,-1.178,-0.0807,-1.0576,1.3663,0.7971,0.5692,0.8806,0.728,0.4933,0.6727,0.6855,0.6048,0.0887,0.3065
8,RandomForest,10,SVR,5,0.5287,2.3159,True,0.45,0.3,-0.1866,-0.1921,-0.0705,-1.0844,1.3642,0.7445,0.6197,0.7613,0.7284,0.5867,0.6567,0.6516,0.5226,0.1081,0.3694
9,RandomForest,5,SVR,5,0.5325,2.3159,True,0.45,0.15,-0.1703,-0.1921,-0.4771,-2.9124,1.3633,0.7429,0.6203,0.7645,0.7226,0.7733,0.5179,0.621,0.529,0.1806,0.2903
10,XGBoost,15,SVR,5,0.5173,2.3159,True,0.5,0.45,-0.1038,0.0274,0.0635,-0.2792,1.3558,0.7329,0.623,0.7258,0.7401,0.5067,0.8085,0.6613,0.4903,0.0758,0.4339
