target,model,n_features,fold,mae_infold_selection,r2_infold_selection,mae_step6,r2_step6,delta_mae,delta_r2,selected_features
GPR3mm,XGBoost,15,0,0.497418,0.764921,0.471649,0.7878,0.025769,-0.022879,LSV;ArcCheck;LTMCS;Fx;SAS20;AAV;Diff(RadCalc);AvgEquPathLength;CTV;PI;ModFactor;CP;MU;Rx;Energy_10
GPR3mm,XGBoost,15,1,0.406224,0.479747,0.402506,0.505081,0.003718,-0.025334,PA_cm2;AvgFieldSize;LT;ArcCheck;ModFactor;Gan;MU;Diff(RadCalc);Fx;Rx;CTV;PI;CP;SAS5;EM
GPR3mm,XGBoost,15,2,0.277414,0.954958,0.3144,0.948256,-0.036986,0.006701,LSV;ArcCheck;AvgFieldSize;PMU;PTV;Diff(RadCalc);LT;AAV;Dose;ALPO(RadCalc);SAS5;AvgDep;Gan;PI;Rx
GPR3mm,XGBoost,15,3,0.899817,0.476827,0.823378,0.573004,0.07644,-0.096177,PA_cm2;ArcCheck;LTMCS;Diff(RadCalc);PTV;PI;AvgFieldSize;SAS5;AAV;ModFactor;Gan;AvgEquPathLength;EM;Energy_10;Fx
GPR3mm,XGBoost,15,4,0.670237,0.119847,0.557215,0.227538,0.113022,-0.107692,PA_cm2;ArcCheck;AvgFieldSize;Diff(RadCalc);Gan;SAS20;SAS5;PTV;PMU;PI;Energy_6;MU;AAV;Fx;Rx
GPR3mm,XGBoost,15,5,0.375746,0.455566,0.343725,0.491342,0.032021,-0.035776,PA_cm2;ArcCheck;AvgFieldSize;PTV;LT;Diff(RadCalc);ModFactor;PI;MU;Gan;Dose;AAV;AvgDep;CP;AFW
GPR3mm,XGBoost,15,6,1.041527,0.399907,0.960541,0.434103,0.080986,-0.034195,PA_cm2;ArcCheck;AvgFieldSize;LTMCS;Diff(RadCalc);EM;CTV;SAS5;ModFactor;AAV;Energy_10;Gan;AvgEquPathLength;MU;Dose
GPR3mm,XGBoost,15,7,0.381956,0.8974,0.356912,0.909777,0.025044,-0.012377,PA_cm2;ArcCheck;AvgFieldSize;LT;PTV;ModFactor;MU;AFW;SAS5;Diff(RadCalc);Dose;Energy_10;PI;AvgEquPathLength;Gan
GPR3mm,XGBoost,15,8,0.293914,0.965257,0.518691,0.802369,-0.224776,0.162888,PA_cm2;ModFactor;Diff(RadCalc);LT;SAS20;ArcCheck;PI;Dose;MCSv(Python);CTV;AvgFieldSize;SAS5;MU;Gan;AvgDep
GPR3mm,XGBoost,15,9,0.535468,-0.502735,0.520859,-0.629177,0.014609,0.126441,PA_cm2;ArcCheck;AvgFieldSize;PTV;LT;PI;ModFactor;Rx;AAV;AFW;Gan;SAS5;Diff(RadCalc);Energy_10;Fx
GPR3mm,XGBoost,15,10,0.411778,0.913886,0.334314,0.94222,0.077464,-0.028334,PA_cm2;ArcCheck;AvgFieldSize;Diff(RadCalc);LTMCS;PI;CTV;SAS20;PMU;AAV;Dose;AvgEquPathLength;SAS5;MU;Rx
GPR3mm,XGBoost,15,11,0.531027,0.789374,0.570936,0.768207,-0.039909,0.021167,PA_cm2;ArcCheck;AvgFieldSize;ModFactor;PTV;Gan;LT;Fx;Diff(RadCalc);ALPO(RadCalc);SAS5;Rx;AvgDep;MU;Energy_6
GPR3mm,XGBoost,15,12,0.635752,0.337088,0.669213,0.379376,-0.033461,-0.042288,PA_cm2;ArcCheck;AvgFieldSize;Gan;PMU;AAV;LTMCS;Diff(RadCalc);SAS5;Energy_6;PTV;MU;Fx;PI;AvgEquPathLength
GPR3mm,XGBoost,15,13,0.576068,0.381807,0.555486,0.403626,0.020583,-0.021818,PA_cm2;ArcCheck;AvgFieldSize;SAS5;LT;PTV;Diff(RadCalc);ModFactor;AAV;AFW;PI;Energy_10;Fx;Gan;CP
